day_number,floor,process,assigned_trade,planned_remaining,is_valid,task_status,initial_production_rate,actual_efficiency,remain_work,is_rework,today_workload,predecessor_processes,pre_remain_work,trade_available,prerequisites_completed,can_start
2,4,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
2,5,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
2,1,Partition phase 1,Partition,818,TRUE,in_progress,55,51,709,FALSE,51,null,null,0,TRUE,FALSE
2,2,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
2,3,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
2,4,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
2,5,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
2,1,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
2,2,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
2,3,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
2,4,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
2,5,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
2,1,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
2,2,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
2,3,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
2,4,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
2,5,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
2,1,Pipes in the floor,Plumbing,103,FALSE,pending,69,null,103,null,0,Gravel base layer,90,1,FALSE,FALSE
2,2,Pipes in the floor,Plumbing,103,FALSE,pending,69,null,103,null,0,Gravel base layer,154,1,FALSE,FALSE
2,3,Pipes in the floor,Plumbing,103,FALSE,pending,69,null,103,null,0,Gravel base layer,154,1,FALSE,FALSE
2,4,Pipes in the floor,Plumbing,103,FALSE,pending,69,null,103,null,0,Gravel base layer,154,1,FALSE,FALSE
2,5,Pipes in the floor,Plumbing,103,FALSE,pending,69,null,103,null,0,Gravel base layer,154,1,FALSE,FALSE
2,1,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,0,Partition phase 1,709,1,FALSE,FALSE
2,2,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,0,Partition phase 1,818,1,FALSE,FALSE
2,3,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,0,Partition phase 1,818,1,FALSE,FALSE
2,4,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,0,Partition phase 1,818,1,FALSE,FALSE
2,5,Pipes in the wall,Plumbing,175,FALSE,pending,37,null,175,null,0,Partition phase 1,818,1,FALSE,FALSE
2,1,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,0,Partition phase 3,216,1,FALSE,FALSE
2,2,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,0,Partition phase 3,216,1,FALSE,FALSE
2,3,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,0,Partition phase 3,216,1,FALSE,FALSE
2,4,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,0,Partition phase 3,216,1,FALSE,FALSE
2,5,Wall tiling,Tiling,271,FALSE,pending,27,null,271,null,0,Partition phase 3,216,1,FALSE,FALSE
3,1,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,58,1,FALSE,FALSE
3,2,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
3,3,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
3,4,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
3,5,Electric conduits in the floor,Electricity,74,FALSE,pending,51,null,74,null,0,Gravel base layer,154,1,FALSE,FALSE
3,1,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
3,2,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
3,3,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
3,4,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
3,5,Electric conduits in the wall,Electricity,164,FALSE,pending,41,null,164,null,0,Partition phase 2,19,1,FALSE,FALSE
3,1,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
3,2,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
3,3,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
3,4,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
3,5,Floor tiling,Tiling,661,FALSE,pending,62,null,661,null,0,"Pipes in the floor, Electric conduits in the floor","74, 103",1,FALSE,FALSE
3,1,Gravel base layer,Gravel,154,TRUE,in_progress,34,32,58,FALSE,32,null,null,0,TRUE,FALSE
3,2,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
3,3,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
3,4,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
3,5,Gravel base layer,Gravel,154,FALSE,pending,34,null,154,null,0,null,null,0,TRUE,FALSE
3,1,Partition phase 1,Partition,818,TRUE,in_progress,55,54,655,FALSE,54,null,null,0,TRUE,FALSE
3,2,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
3,3,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
3,4,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
3,5,Partition phase 1,Partition,818,FALSE,pending,55,null,818,null,0,null,null,0,TRUE,FALSE
3,1,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
3,2,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
3,3,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
3,4,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
3,5,Partition phase 2,Partition,19,FALSE,pending,51,null,19,null,0,Pipes in the wall,175,0,FALSE,FALSE
3,1,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
3,2,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
3,3,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
3,4,Partition phase 3,Partition,216,FALSE,pending,32,null,216,null,0,Electric conduits in the wall,164,0,FALSE,FALSE
