day_number,process,floor,trade,is_invalid,is_rework,daily_work_done,efficiency,start_day,complete_day,recorded_at
182,Electric conduits in the wall,5,Electricity,TRUE,TRUE,0,0.00%,181,null,2025-03-25 11:54:28.699895+00
182,Wall tiling,3,Tiling,FALSE,TRUE,26,96.30%,166,null,2025-03-25 11:54:28.699895+00
183,Electric conduits in the wall,5,Electricity,FALSE,TRUE,43,104.88%,181,null,2025-03-25 11:54:28.699895+00
183,Wall tiling,3,Tiling,FALSE,TRUE,27,100.00%,166,null,2025-03-25 11:54:28.699895+00
184,Electric conduits in the wall,5,Electricity,FALSE,TRUE,43,104.88%,181,null,2025-03-25 11:54:28.699895+00
184,Wall tiling,3,Tiling,FALSE,TRUE,25,92.59%,166,null,2025-03-25 11:54:28.699895+00
185,Electric conduits in the wall,5,Electricity,TRUE,TRUE,0,0.00%,181,null,2025-03-25 11:54:28.699895+00
185,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
186,Electric conduits in the wall,5,Electricity,TRUE,TRUE,0,0.00%,181,null,2025-03-25 11:54:28.699895+00
186,Wall tiling,3,Tiling,TRUE,TRUE,0,0.00%,166,null,2025-03-25 11:54:28.699895+00
187,Electric conduits in the wall,5,Electricity,TRUE,TRUE,0,0.00%,181,null,2025-03-25 11:54:28.699895+00
187,Wall tiling,3,Tiling,FALSE,TRUE,26,96.30%,166,187,2025-03-25 11:54:28.699895+00
188,Electric conduits in the wall,5,Electricity,FALSE,TRUE,43,104.88%,181,null,2025-03-25 11:54:28.699895+00
188,Wall tiling,4,Tiling,FALSE,TRUE,29,107.41%,187,null,2025-03-25 11:54:28.699895+00
189,Electric conduits in the wall,5,Electricity,FALSE,TRUE,43,104.88%,181,null,2025-03-25 11:54:28.699895+00
189,Wall tiling,4,Tiling,FALSE,TRUE,25,92.59%,187,null,2025-03-25 11:54:28.699895+00
190,Electric conduits in the wall,5,Electricity,FALSE,TRUE,44,107.32%,181,190,2025-03-25 11:54:28.699895+00
190,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
191,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
191,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
192,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
192,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
193,Partition phase 3,5,Partition,FALSE,TRUE,34,106.25%,190,null,2025-03-25 11:54:28.699895+00
193,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
194,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
194,Wall tiling,4,Tiling,FALSE,TRUE,25,92.59%,187,null,2025-03-25 11:54:28.699895+00
195,Partition phase 3,5,Partition,FALSE,TRUE,33,103.13%,190,null,2025-03-25 11:54:28.699895+00
195,Wall tiling,4,Tiling,TRUE,TRUE,0,0.00%,187,null,2025-03-25 11:54:28.699895+00
196,Partition phase 3,5,Partition,TRUE,TRUE,0,0.00%,190,null,2025-03-25 11:54:28.699895+00
